year,ccode,n_dissent_events,n_events,country_index,country_name,year_index
1990.0,2.0,195.0,135537.0,1,United States of America,1
1990.0,20.0,18.0,7781.0,2,Canada,1
1990.0,41.0,8.0,310.0,3,Haiti,1
1990.0,42.0,0.0,121.0,4,Dominican Republic,1
1990.0,51.0,0.0,140.0,5,Jamaica,1
1990.0,52.0,1.0,220.0,6,Trinidad and Tobago,1
1990.0,70.0,12.0,1641.0,7,Mexico,1
1990.0,80.0,1.0,12.0,8,Belize,1
1990.0,90.0,13.0,371.0,9,Guatemala,1
1990.0,91.0,6.0,313.0,10,Honduras,1
1990.0,92.0,36.0,831.0,11,El Salvador,1
1990.0,93.0,21.0,1077.0,12,Nicaragua,1
1990.0,94.0,1.0,236.0,13,Costa Rica,1
1990.0,95.0,4.0,592.0,14,Panama,1
1990.0,100.0,48.0,1797.0,15,Colombia,1
1990.0,101.0,8.0,1123.0,16,"Venezuela, Bolivarian Republic of",1
1990.0,110.0,0.0,44.0,17,Guyana,1
1990.0,115.0,8.0,177.0,18,Suriname,1
1990.0,130.0,2.0,391.0,19,Ecuador,1
1990.0,135.0,41.0,1375.0,20,Peru,1
1990.0,140.0,17.0,2454.0,21,Brazil,1
1990.0,145.0,1.0,135.0,22,Bolivia (Plurinational State of),1
1990.0,150.0,0.0,84.0,23,Paraguay,1
1990.0,155.0,4.0,696.0,24,Chile,1
1990.0,160.0,16.0,1537.0,25,Argentina,1
1990.0,165.0,6.0,342.0,26,Uruguay,1
1990.0,200.0,128.0,30232.0,27,United Kingdom of Great Britain and Northern Ireland,1
1990.0,205.0,3.0,1051.0,28,Ireland,1
1990.0,210.0,12.0,4369.0,29,Netherlands,1
1990.0,211.0,17.0,3812.0,30,Belgium,1
1990.0,220.0,48.0,11130.0,31,France,1
1990.0,225.0,6.0,4198.0,32,Switzerland,1
1990.0,230.0,39.0,3271.0,33,Spain,1
1990.0,235.0,7.0,833.0,34,Portugal,1
1990.0,255.0,17.0,4056.0,35,Germany,1
1990.0,260.0,0.0,0.0,36,Federal Republic of Germany,1
1990.0,265.0,0.0,0.0,37,German Democratic Republic,1
1990.0,290.0,26.0,2712.0,38,Poland,1
1990.0,305.0,20.0,5815.0,39,Austria,1
1990.0,310.0,4.0,1534.0,40,Hungary,1
1990.0,315.0,10.0,1769.0,41,Czechoslovakia,1
1990.0,316.0,17.0,4056.0,42,Czech Republic,1
1990.0,317.0,17.0,4056.0,43,Slovakia,1
1990.0,325.0,20.0,5194.0,44,Italy,1
1990.0,339.0,14.0,609.0,45,Albania,1
1990.0,344.0,17.0,4056.0,46,Croatia,1
1990.0,346.0,17.0,4056.0,47,Bosnia and Herzegovina,1
1990.0,349.0,17.0,4056.0,48,Slovenia,1
1990.0,350.0,23.0,1082.0,49,Greece,1
1990.0,352.0,11.0,1876.0,50,Cyprus,1
1990.0,355.0,27.0,1165.0,51,Bulgaria,1
1990.0,359.0,17.0,4056.0,52,Republic of Moldova,1
1990.0,360.0,58.0,2385.0,53,Romania,1
1990.0,365.0,110.0,14815.0,54,Russian Federation,1
1990.0,366.0,17.0,4056.0,55,Estonia,1
1990.0,367.0,17.0,4056.0,56,Latvia,1
1990.0,368.0,17.0,4056.0,57,Lithuania,1
1990.0,369.0,17.0,4056.0,58,Ukraine,1
1990.0,370.0,17.0,4056.0,59,Belarus,1
1990.0,371.0,17.0,4056.0,60,Armenia,1
1990.0,372.0,17.0,4056.0,61,Georgia,1
1990.0,373.0,17.0,4056.0,62,Azerbaijan,1
1990.0,375.0,4.0,1548.0,63,Finland,1
1990.0,380.0,9.0,3581.0,64,Sweden,1
1990.0,385.0,7.0,1883.0,65,Norway,1
1990.0,390.0,3.0,969.0,66,Denmark,1
1990.0,404.0,0.0,53.0,67,Guinea Bissau,1
1990.0,411.0,0.0,4.0,68,Equatorial Guinea,1
1990.0,420.0,1.0,135.0,69,Gambia (Islamic Republic of the),1
1990.0,432.0,0.0,50.0,70,Mali,1
1990.0,433.0,3.0,143.0,71,Senegal,1
1990.0,434.0,0.0,38.0,72,Benin,1
1990.0,435.0,0.0,89.0,73,Mauritania,1
1990.0,436.0,3.0,66.0,74,Niger,1
