ccode,year,ingo_uia,polity2,xrcomp,xropen,xconst,parcomp,physint,disap,kill,polpris,tort,injud,amnesty,pop,gdppc,rentspc,military,execrlc,trade_gdp,fdi_net_in,public_trial,fair_trial,final_decision,legislative_ck,structad,imfstruct,wbimfstruct,britcol,common,hr_law,cat_ratify,cpr_ratify,ythblgap,latent,latent_sd,cwar,iwar,aibr_lag,ainr_lag,avmdia_lag,hro_shaming_lag,physint_lag,amnesty_lag,disap_lag,kill_lag,polpris_lag,tort_lag,latent_lag
2,1981,7.009408932708637,10,3,4,7,5,8,2,2,2,2,2,1,12.359879837800907,9.496528579166673,7.231866802689537,0,1,2.999334291370135,0.811585783958435,2,2,0,0,0,0,0,1,1,0,0,0,23.2999992370605,2.09063723698037,0.365070104798715,0,0,27,0,0.0,0,7,2,1,2,1,1,0.57908932043497
2,1982,7.317212408359839,10,3,4,7,5,8,2,2,2,2,2,1,12.370147913304997,9.525445229143417,7.1130768963812985,0,1,2.899647276597041,0.386467128992081,2,2,0,0,0,0,0,1,1,0,0,0,22.7999992370605,2.11764759241704,0.359613443875164,0,0,0,0,0.0,0,8,1,2,2,2,2,2.09063723698037
2,1983,7.332369205929062,10,3,4,7,5,8,2,2,2,2,2,1,12.380516168612585,9.598080652666159,6.91455783368206,0,1,2.848902110381791,0.298554271459579,2,2,0,0,0,0,0,1,1,0,0,0,22.2000007629395,2.09299667651559,0.348725239031699,0,0,0,0,0.0,0,8,1,2,2,2,2,2.11764759241704
2,1984,7.374001859350161,10,3,4,7,5,8,2,2,2,2,2,1,12.390845362441825,9.69408910301359,6.864597553495518,0,1,2.8980734611763967,0.63480669260025,2,2,0,0,0,0,0,1,1,0,0,0,21.6000003814697,2.00212836408717,0.336977449931028,0,0,5,2,0.0,0,8,1,2,2,2,2,2.09299667651559
2,1985,7.374001859350161,10,3,4,7,5,7,2,2,2,1,2,1,12.401045502734814,9.754348128698254,6.777188586061537,0,1,2.844095479783575,0.478159040212631,2,2,0,0,0,0,0,1,1,0,0,0,21.1000003814697,1.81328587586661,0.326204887501754,0,0,7,0,0.0,0,8,1,2,2,2,2,2.00212836408717
2,1986,6.690842277418564,10,3,4,7,5,7,2,2,2,1,2,1,12.41107462922442,9.800049077463203,6.280007607445873,0,1,2.860682350965311,0.800429403781891,2,2,0,0,0,0,0,1,1,0,0,0,20.5,1.68152285787719,0.313236535236711,0,0,1,0,0.0,6,7,1,2,2,2,1,1.81328587586661
2,1987,7.365180126021013,10,3,4,7,5,8,2,2,2,2,2,2,12.420979568763466,9.850273994569406,6.248331480743583,0,1,2.92144916211596,1.2443550825119,2,2,0,0,0,0,0,1,1,0,0,0,20.0,1.60275184295612,0.301022360636988,0,0,6,0,3.5,0,7,1,2,2,2,1,1.68152285787719
2,1988,7.513709247839705,10,3,4,7,5,7,2,2,2,1,2,1,12.430867233133561,9.914535300808446,5.99891444971012,0,1,2.981326079563128,1.14059937000275,2,2,0,0,0,0,0,1,1,0,0,0,19.3999996185303,1.59636731693787,0.29519525777543,0,0,17,2,2.5,0,8,2,2,2,2,2,1.60275184295612
2,1989,7.56734567601324,10,3,4,7,5,7,2,2,2,1,2,1,12.440885050191516,9.976472179688331,6.0469542245464325,0,1,3.0013783641281515,1.25466477870941,2,2,0,0,0,0,0,1,1,0,0,0,18.8999996185303,1.56035427511211,0.291625988469052,0,0,15,0,0.5,0,7,1,2,2,2,1,1.59636731693787
2,1990,7.605392364814935,10,3,4,7,5,8,2,2,2,2,2,1,12.451130318855979,10.022603921131179,6.1496568619210175,0,1,3.022869906832848,0.843187034130096,2,2,0,0,0,0,0,1,1,0,0,0,18.3999996185303,1.50264031493229,0.287830906972655,0,0,28,1,1.5,2,7,1,2,2,2,1,1.56035427511211
2,1991,7.62657020629066,10,3,4,7,5,7,2,2,2,1,2,2,12.46161871886965,10.044517386449177,6.075676127687372,0,1,3.0239607137052733,0.390847623348236,2,2,0,0,0,0,0,1,1,0,0,0,18.1000003814697,1.26866682420376,0.280234856612118,0,0,17,0,2.5,0,8,1,2,2,2,2,1.50264031493229
2,1992,7.662937850461535,10,3,4,7,5,7,2,2,2,1,2,2,12.47229560947801,10.089422572899919,5.867578003911331,0,1,3.0352182930490814,0.316362708806992,2,2,0,0,0,0,0,1,1,0,0,1,17.8999996185303,1.21720588456872,0.279595379657222,0,0,22,3,2.0,0,7,2,2,2,2,1,1.26866682420376
2,1993,7.708410667257367,10,3,4,7,5,7,2,2,2,1,2,1,12.483093968591284,10.12787752674249,5.717576565998431,0,3,3.0395847666860125,0.78050708770752,2,2,0,0,0,0,0,1,1,0,0,1,17.6000003814697,1.35858930193316,0.284027994556359,0,0,36,2,3.0,0,7,2,2,2,2,1,1.21720588456872
2,1994,7.729295674310482,10,3,4,7,5,7,2,2,2,1,2,1,12.493921329101552,10.177765945684946,5.578405984292477,0,3,3.088161505486098,0.659631371498108,2,2,0,0,0,0,0,1,1,0,1,1,17.2999992370605,1.43991414490029,0.285036375995858,0,0,36,0,2.5,0,7,1,2,2,2,1,1.35858930193316
2,1995,7.752764808851328,10,3,4,7,5,7,2,2,2,1,2,1,12.504705043723034,10.212213026323163,5.558502651190216,0,3,3.151170837430128,0.787637650966644,2,2,0,0,0,0,0,1,1,1,1,1,17.1000003814697,1.46771539594628,0.283969687466954,0,0,21,17,2.5,8,7,1,2,2,2,1,1.43991414490029
2,1996,7.791109510610028,10,3,4,7,5,7,2,2,2,1,2,1,12.515432791411454,10.257111847974906,5.660112784412682,0,3,3.16257993244693,1.11622869968414,2,2,0,0,0,0,0,1,1,1,1,1,17.1000003814697,1.47567982427147,0.286154340540682,0,0,22,6,1.0,3,7,1,2,2,2,1,1.46771539594628
2,1997,7.820439515262181,10,3,4,7,5,7,2,2,2,1,2,1,12.526102225255908,10.307485918837576,5.59289478555696,0,3,3.1924036298820266,1.27887117862701,2,2,0,0,0,0,0,1,1,1,1,1,17.1000003814697,1.50669855914814,0.284346318707276,0,0,11,6,1.5,5,7,1,2,2,2,1,1.47567982427147
2,1998,7.848153086199526,10,3,4,7,5,7,2,2,2,1,2,1,12.536664770989974,10.349303184039501,5.155226969254544,0,3,3.164500973005407,2.04816389083862,2,2,0,0,0,0,0,1,1,1,1,1,17.1000003814697,1.51037256706239,0.283915368748599,0,0,11,12,3.0,4,7,1,2,2,2,1,1.50669855914814
2,1999,7.88193748927207,10,3,4,7,5,7,2,2,2,1,2,1,12.547066430242948,10.397162236173928,5.373303270903185,0,3,3.1818365684975856,3.1119556427002,2,2,0,0,0,0,0,1,1,1,1,1,17.1000003814697,1.44176149459692,0.282317903452946,0,0,31,24,4.0,13,7,1,2,2,2,1,1.51037256706239
20,1983,7.220373836723949,10,3,4,7,5,7,2,2,2,1,2,1,10.137252496619796,9.433546321343593,7.303114316571275,0,3,3.8641304066186186,0.598994314670563,2,2,0,0,0,0,0,1,1,0,0,1,23.5,1.90432110348008,0.376206570432102,0,0,0,1,0.0,0,7,3,2,2,2,1,1.82902605817059
20,1984,7.2640301428995295,10,3,4,7,5,7,2,2,2,1,2,1,10.147956492725012,9.51050422193002,7.274313739196696,0,3,3.9844333704697625,1.36939680576324,2,2,0,0,0,0,0,1,1,0,0,1,22.8999996185303,2.0323363165333,0.367104030830737,0,0,1,0,2.0,0,7,1,2,2,2,1,1.90432110348008
