where_idea,cown,un,imf,name_full
ANT,58,,,Antigua and Barbuda
ASA,,16,,American Samoa
BER,,60,,Bermuda
COR,,,,Corsica
EUR,,,,Europa Island
FGU,,254,,French Guiana
FJI,950,242,,Fiji
FRG,255,276,,Germany
GIB,,292,,Gibralter
IOM,,833,,Isle of Man
IVO,,,,Cote d Ivoire
MOT,341,499,,Montenegro
NFI,,574,,Norfolk Island
NIRE,,,,Northern Ireland
NTA,,,353,Netherland Antilles
PEI,,,,Prince Edward Island
PTR,,630,,Puerto Rico
REU,,638,696,Reunion
RUM,360,642,968,Romania
SAO,403,678,716,Sao Tome and Principe
SER,,,,Serbia and Montenegro
STL,56,662,362,Saint Lucia
UK_,200,826,112,United Kingdom
USR,,,,Soviet Union
VAT,327,336,,Vatican
VIR,,,,Virgin Islands
ZAI,490,180,636,Democratic Republic of the Congo
