country_name,ccode,stateabb,date,year,quarter,month,n_events,n_dissent_events,frac_dissent_events,pi,eta
United States of America,2,USA,1990-01-01,1990.0,1,1.0,12273.0,6.0,4.888780249327792e-4,5.338693157170849e-4,-7.60069636
United States of America,2,USA,1990-02-01,1990.0,1,2.0,10164.0,7.0,6.887052341597796e-4,7.443369335488598e-4,-7.28159347
United States of America,2,USA,1990-03-01,1990.0,1,3.0,12349.0,15.0,0.0012146732528949713,0.0011289317627415205,-6.83201884
United States of America,2,USA,1990-04-01,1990.0,2,4.0,11126.0,5.0,4.4939780693870214e-4,5.143189585156024e-4,-7.65986761
United States of America,2,USA,1990-05-01,1990.0,2,5.0,11961.0,15.0,0.001254075746175069,0.0012363973314671861,-6.72741326
United States of America,2,USA,1990-06-01,1990.0,2,6.0,11821.0,9.0,7.613569071990526e-4,7.422239127905028e-4,-7.25018756
United States of America,2,USA,1990-07-01,1990.0,3,7.0,10956.0,6.0,5.47645125958379e-4,6.138425730021829e-4,-7.4605138
United States of America,2,USA,1990-08-01,1990.0,3,8.0,11312.0,11.0,9.724186704384724e-4,8.882690474137496e-4,-7.07588413
United States of America,2,USA,1990-09-01,1990.0,3,9.0,11503.0,15.0,0.0013040076501782145,0.0013598053851095098,-6.63585178
United States of America,2,USA,1990-10-01,1990.0,4,10.0,12267.0,12.0,9.782342871117633e-4,9.714903139832204e-4,-6.98419058
United States of America,2,USA,1990-11-01,1990.0,4,11.0,10575.0,8.0,7.56501182033097e-4,7.443607762657756e-4,-7.25396162
United States of America,2,USA,1990-12-01,1990.0,4,12.0,9230.0,9.0,9.750812567713976e-4,9.90945786364505e-4,-6.96739242
United States of America,2,USA,1991-01-01,1991.0,1,1.0,12837.0,27.0,0.0021032951624211263,0.001957159282591356,-6.24752268
United States of America,2,USA,1991-02-01,1991.0,1,2.0,10620.0,17.0,0.0016007532956685499,0.001633463225293994,-6.44948881
United States of America,2,USA,1991-03-01,1991.0,1,3.0,11560.0,2.0,1.7301038062283736e-4,2.811289984152352e-4,-8.31984605
United States of America,2,USA,1991-04-01,1991.0,2,4.0,12871.0,5.0,3.884702043353275e-4,4.7499848644068707e-4,-7.74416303
United States of America,2,USA,1991-05-01,1991.0,2,5.0,12476.0,8.0,6.412311638345624e-4,6.24110267252158e-4,-7.41723316
United States of America,2,USA,1991-06-01,1991.0,2,6.0,11037.0,7.0,6.342303162091148e-4,6.314693839922366e-4,-7.43714928
United States of America,2,USA,1991-07-01,1991.0,3,7.0,11743.0,6.0,5.109426892616878e-4,5.945053913361096e-4,-7.49243025
United States of America,2,USA,1991-08-01,1991.0,3,8.0,9872.0,7.0,7.090761750405186e-4,7.572672839983367e-4,-7.24797705
United States of America,2,USA,1991-09-01,1991.0,3,9.0,11437.0,9.0,7.869196467605141e-4,7.735355425823276e-4,-7.20441806
United States of America,2,USA,1991-10-01,1991.0,4,10.0,12990.0,5.0,3.8491147036181676e-4,4.4055624841791687e-4,-7.79041019
United States of America,2,USA,1991-11-01,1991.0,4,11.0,11622.0,13.0,0.0011185682326621924,0.0010619490639916522,-6.89454444
United States of America,2,USA,1991-12-01,1991.0,4,12.0,11670.0,3.0,2.570694087403599e-4,3.591292633468882e-4,-8.03472375
United States of America,2,USA,1992-01-01,1992.0,1,1.0,13993.0,12.0,8.575716429643393e-4,7.484490205801771e-4,-7.23551979
United States of America,2,USA,1992-02-01,1992.0,1,2.0,12167.0,14.0,0.0011506534067559793,0.00112131322927813,-6.82766987
United States of America,2,USA,1992-03-01,1992.0,1,3.0,13556.0,11.0,8.114488049572145e-4,8.204237993828541e-4,-7.16079686
United States of America,2,USA,1992-04-01,1992.0,2,4.0,13213.0,8.0,6.054643154469084e-4,6.302597373261761e-4,-7.42273421
United States of America,2,USA,1992-05-01,1992.0,2,5.0,11401.0,7.0,6.139812297166915e-4,6.670348595024537e-4,-7.38260157
United States of America,2,USA,1992-06-01,1992.0,2,6.0,12481.0,7.0,5.608524957936063e-4,6.096499255808791e-4,-7.46711379
United States of America,2,USA,1992-07-01,1992.0,3,7.0,12615.0,14.0,0.001109789932619897,0.0010480606097612057,-6.89741195
United States of America,2,USA,1992-08-01,1992.0,3,8.0,11214.0,10.0,8.917424647761727e-4,9.404868901893756e-4,-7.01327108
United States of America,2,USA,1992-09-01,1992.0,3,9.0,12472.0,11.0,8.81975625400898e-4,8.827338542421082e-4,-7.07486611
United States of America,2,USA,1992-10-01,1992.0,4,10.0,13628.0,9.0,6.604050484297036e-4,7.06125105991672e-4,-7.30737682
United States of America,2,USA,1992-11-01,1992.0,4,11.0,11995.0,8.0,6.669445602334305e-4,6.883125303561033e-4,-7.3232877499999995
United States of America,2,USA,1992-12-01,1992.0,4,12.0,12445.0,13.0,0.0010445962233828847,0.0010480548836896688,-6.90355526
United States of America,2,USA,1993-01-01,1993.0,1,1.0,13882.0,7.0,5.042501080535945e-4,5.17172918521237e-4,-7.6136734
United States of America,2,USA,1993-02-01,1993.0,1,2.0,13242.0,11.0,8.306902280622263e-4,8.29912331119169e-4,-7.14225522
United States of America,2,USA,1993-03-01,1993.0,1,3.0,16465.0,14.0,8.50288490737929e-4,8.624132512278288e-4,-7.100585
United States of America,2,USA,1993-04-01,1993.0,2,4.0,15096.0,12.0,7.94912559618442e-4,7.706436833853306e-4,-7.20406267
United States of America,2,USA,1993-05-01,1993.0,2,5.0,14233.0,10.0,7.025925665706457e-4,7.816230822130476e-4,-7.19462193
United States of America,2,USA,1993-06-01,1993.0,2,6.0,15726.0,12.0,7.630675314765357e-4,8.135030033665879e-4,-7.16792241
United States of America,2,USA,1993-07-01,1993.0,3,7.0,14600.0,10.0,6.849315068493151e-4,6.958117224667591e-4,-7.31226453
United States of America,2,USA,1993-08-01,1993.0,3,8.0,13401.0,9.0,6.71591672263264e-4,7.34290033698968e-4,-7.26278089
United States of America,2,USA,1993-09-01,1993.0,3,9.0,14673.0,11.0,7.496762761534792e-4,7.295540504481077e-4,-7.27471529
United States of America,2,USA,1993-10-01,1993.0,4,10.0,15200.0,5.0,3.289473684210526e-4,4.6898353023030125e-4,-7.72760249
United States of America,2,USA,1993-11-01,1993.0,4,11.0,15594.0,25.0,0.001603180710529691,0.0015208589396299048,-6.50477303
United States of America,2,USA,1993-12-01,1993.0,4,12.0,15605.0,12.0,7.689842999038769e-4,7.454693084297262e-4,-7.24900357
United States of America,2,USA,1994-01-01,1994.0,1,1.0,17489.0,7.0,4.002515867116473e-4,4.0185411005264917e-4,-7.87073849
United States of America,2,USA,1994-02-01,1994.0,1,2.0,15514.0,4.0,2.5783163594173e-4,2.8960664012586305e-4,-8.24386426
United States of America,2,USA,1994-03-01,1994.0,1,3.0,17998.0,13.0,7.22302478053117e-4,6.526974761017282e-4,-7.36742081
United States of America,2,USA,1994-04-01,1994.0,2,4.0,17189.0,8.0,4.654139275117808e-4,4.75244786424171e-4,-7.70494927
United States of America,2,USA,1994-05-01,1994.0,2,5.0,17195.0,5.0,2.907822041291073e-4,3.35344988860078e-4,-8.07587934
United States of America,2,USA,1994-06-01,1994.0,2,6.0,17130.0,7.0,4.086398131932283e-4,3.848761271647695e-4,-7.92899091
United States of America,2,USA,1994-07-01,1994.0,3,7.0,15273.0,10.0,6.547502127938192e-4,6.763822365694585e-4,-7.33424912
United States of America,2,USA,1994-08-01,1994.0,3,8.0,14681.0,12.0,8.173830120563995e-4,7.862703907901495e-4,-7.19016417
United States of America,2,USA,1994-09-01,1994.0,3,9.0,15700.0,19.0,0.0012101910828025478,0.0011541775602594726,-6.78916368
United States of America,2,USA,1994-10-01,1994.0,4,10.0,17116.0,7.0,4.089740593596635e-4,5.358980943780075e-4,-7.58760843
United States of America,2,USA,1994-11-01,1994.0,4,11.0,14856.0,25.0,0.0016828217555196554,0.0017064326118138619,-6.39153553
United States of America,2,USA,1994-12-01,1994.0,4,12.0,14227.0,10.0,7.028888732691362e-4,7.204638371810033e-4,-7.27648247
United States of America,2,USA,1995-01-01,1995.0,1,1.0,17544.0,13.0,7.409940720474236e-4,6.67727704156332e-4,-7.34665797
United States of America,2,USA,1995-02-01,1995.0,1,2.0,15307.0,5.0,3.266479388515058e-4,3.885680443301978e-4,-7.93787072
United States of America,2,USA,1995-03-01,1995.0,1,3.0,16463.0,12.0,7.289072465528762e-4,6.32292701144417e-4,-7.41439423
United States of America,2,USA,1995-04-01,1995.0,2,4.0,15478.0,4.0,2.584313218762114e-4,3.5365483460090056e-4,-8.02804949
United States of America,2,USA,1995-05-01,1995.0,2,5.0,16907.0,11.0,6.506180871828237e-4,6.270786101534252e-4,-7.41155353
United States of America,2,USA,1995-06-01,1995.0,2,6.0,16890.0,12.0,7.104795737122557e-4,6.75410363990931e-4,-7.35844895
United States of America,2,USA,1995-07-01,1995.0,3,7.0,15257.0,11.0,7.209805335255948e-4,7.279769528681928e-4,-7.25844661
